,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
32,WARREN,754163,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23797,3760,MAIN ST,,,WARRENSBURG,NY,12885,10642,POINT (599631.0395080872 4816243.705519733),5274,36,113,073000,1400000US36113073000,36113073000,730,Census Tract 730,NY,Warren County,New York,CT,164426858,3400647
33,CLINTON,753874,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23449,7598,ROUTE 22,,,WEST CHAZY,NY,12992,0,POINT (618057.8273765668 4963313.121760501),3169,36,019,100200,1400000US36019100200,36019100200,1002,Census Tract 1002,NY,Clinton County,New York,CT,140256207,18551716
34,ORANGE,753669,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21171,5280,US ROUTE 9W,,,NEWBURGH,NY,12550,10000,POINT (582978.0450242581 4600566.324342586),3431,36,071,010200,1400000US36071010200,36071010200,102,Census Tract 102,NY,Orange County,New York,CT,11786535,3857160
35,TOMPKINS,753583,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23670,1124,RIDGE RD,,,LANSING,NY,14882,0,POINT (369975.1867584225 4715546.164654098),2342,36,109,002300,1400000US36109002300,36109002300,23,Census Tract 23,NY,Tompkins County,New York,CT,169762369,19075323
36,HERKIMER,753265,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23760,8290,STATE RT 28,,,NEWPORT,NY,13416,10770,POINT (496858.5129692074 4783406.524012047),4305,36,043,011400,1400000US36043011400,36043011400,114,Census Tract 114,NY,Herkimer County,New York,CT,281955763,2273683
37,HERKIMER,753211,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23909,4225,ACME RD,,,FRANKFORT,NY,13340,8519,POINT (495072.1401767283 4764121.119557776),5271,36,043,010201,1400000US36043010201,36043010201,102.01,Census Tract 102.01,NY,Herkimer County,New York,CT,4850242,135700
38,ST. LAWRENCE,753209,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23623,8740,ROUTE 56,,,NORFOLK,NY,13667,0,POINT (501779.8263616023 4964745.045902254),2329,36,089,490600,1400000US36089490600,36089490600,4906,Census Tract 4906,NY,St. Lawrence County,New York,CT,146955090,2599602
39,SCHENECTADY,753207,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20977,1225,MAIN ST,,,ROTTERDAM JUNCTION,NY,12150,0,POINT (578436.1531034114 4746843.534264087),2250,36,093,032602,1400000US36093032602,36093032602,326.02,Census Tract 326.02,NY,Schenectady County,New York,CT,60048381,1896395
40,WAYNE,752251,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23061,6466,RTE 104A,,,RED CREEK,NY,13143,0,POINT (359459.3200058044 4788416.213970689),5079,36,117,021502,1400000US36117021502,36117021502,215.02,Census Tract 215.02,NY,Wayne County,New York,CT,101139630,2333354
41,FRANKLIN,752250,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23337,1329,STATE RT 122,,,CONSTABLE,NY,12926,0,POINT (556888.8472944567 4975503.615664294),369,36,033,952000,1400000US36033952000,36033952000,9520,Census Tract 9520,NY,Franklin County,New York,CT,354571285,62808
42,JEFFERSON,752249,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22995,32270,STATE RT 3,,,CARTHAGE,NY,13619,0,POINT (441612.4789047964 4875234.415795261),4872,36,045,061101,1400000US36045061101,36045061101,611.01,Census Tract 611.01,NY,Jefferson County,New York,CT,72976395,666488
43,MADISON,752095,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23298,3199,STATE RT 31,,,CANASTOTA,NY,13032,0,POINT (436265.9835957988 4778748.548473521),3459,36,053,030200,1400000US36053030200,36053030200,302,Census Tract 302,NY,Madison County,New York,CT,79435468,46792
44,MONROE,751290,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22585,252,E MAIN ST,,,ROCHESTER,NY,14604,0,POINT (288180.3348765763 4781615.350295606),4362,36,055,009401,1400000US36055009401,36055009401,94.01,Census Tract 94.01,NY,Monroe County,New York,CT,521226,17868
45,ERIE,751065,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22725,4030,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,0,POINT (189168.5820994538 4742828.598399566),2533,36,029,012903,1400000US36029012903,36029012903,129.03,Census Tract 129.03,NY,Erie County,New York,CT,4002427,0
46,ONEIDA,751062,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6714,1600,MAIN ST,,,SYLVAN BEACH,NY,13157,0,POINT (440857.8279474124 4783724.599714375),4764,36,065,026700,1400000US36065026700,36065026700,267,Census Tract 267,NY,Oneida County,New York,CT,159147761,87125467
47,ERIE,751042,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21764,12220,WALDEN AVE,,,ALDEN,NY,14004,9160,POINT (211710.9687630463 4760111.331882843),4510,36,029,014903,1400000US36029014903,36029014903,149.03,Census Tract 149.03,NY,Erie County,New York,CT,78247976,475100
48,ERIE,750455,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 22699,8680,STATE RD,,,COLDEN,NY,14033,9400,POINT (197742.3149560119 4728205.694856026),2720,36,029,015101,1400000US36029015101,36029015101,151.01,Census Tract 151.01,NY,Erie County,New York,CT,92294578,225200
49,CATTARAUGUS,750401,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20622,244,BUFFALO ST,,,GOWANDA,NY,14070,9160,POINT (176443.2877411355 4709567.580185418),3585,36,029,017501,1400000US36029017501,36029017501,175.01,Census Tract 175.01,NY,Erie County,New York,CT,5792700,34273
50,OSWEGO,750399,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23128,1896,ROUTE 11,,,HASTINGS,NY,13076,10765,POINT (406623.9863923389 4802482.66295433),1705,36,075,020703,1400000US36075020703,36075020703,207.03,Census Tract 207.03,NY,Oswego County,New York,CT,85362427,100561
51,ST. LAWRENCE,750135,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22686,3712,ST HWY 37,,,OGDENSBURG,NY,13669,0,POINT (449722.7888323318 4938196.258227411),2328,36,089,492800,1400000US36089492800,36089492800,4928,Census Tract 4928,NY,St. Lawrence County,New York,CT,275686886,41820481
52,ULSTER,750134,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22620,1984,ROUTE 9W,,,MARLBORO,NY,12542,0,POINT (586587.0488112706 4613620.717263442),2899,36,111,953800,1400000US36111953800,36111953800,9538,Census Tract 9538,NY,Ulster County,New York,CT,16213206,4633058
53,ORLEANS,750132,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22562,30,N MAIN ST,,,LYNDONVILLE,NY,14098,7520,POINT (225250.8437957174 4802163.272941227),2487,36,073,401200,1400000US36073401200,36073401200,4012,Census Tract 4012,NY,Orleans County,New York,CT,130055678,673983
54,CLINTON,750130,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21753,901,MILITARY TPKE,,,PLATTSBURGH,NY,12901,0,POINT (617986.4055625347 4945533.634307911),4018,36,019,103900,1400000US36019103900,36019103900,1039,Census Tract 1039,NY,Clinton County,New York,CT,103244141,783104
55,ORANGE,750128,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19908,748,ROUTE 284,,,WESTTOWN,NY,10998,0,POINT (538360.8685244521 4576033.054530875),3427,36,071,011702,1400000US36071011702,36071011702,117.02,Census Tract 117.02,NY,Orange County,New York,CT,59572166,373606
56,TOMPKINS,750127,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22623,1188,AUBURN RD,,,LOCKE,NY,13092,0,POINT (377135.845303367 4718935.070270691),2342,36,109,002300,1400000US36109002300,36109002300,23,Census Tract 23,NY,Tompkins County,New York,CT,169762369,19075323
57,ONONDAGA,749812,Store,JAC,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23195,301,S SALINA ST,,,SYRACUSE,NY,13202,0,POINT (406180.8613752261 4766842.348505607),3703,36,067,003200,1400000US36067003200,36067003200,32,Census Tract 32,NY,Onondaga County,New York,CT,1190714,0
58,ST. LAWRENCE,749811,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22958,4149,STATE HWY 3,,,STAR LAKE,NY,13690,0,POINT (496784.8383626309 4889940.983394922),3998,36,089,492501,1400000US36089492501,36089492501,4925.01,Census Tract 4925.01,NY,St. Lawrence County,New York,CT,1065895805,51193750
59,ERIE,749810,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21444,6401,OLEAN RD,,,SOUTH WALES,NY,14139,9000,POINT (206995.3220767681 4734896.545569539),2692,36,029,015002,1400000US36029015002,36029015002,150.02,Census Tract 150.02,NY,Erie County,New York,CT,92169877,130985
60,ERIE,749809,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22710,5203,SENECA ST,,,W SENECA,NY,14224,0,POINT (196600.9995974532 4749114.361436673),3724,36,029,017302,1400000US36029017302,36029017302,173.02,Census Tract 173.02,NY,Erie County,New York,CT,6985674,30893
61,LIVINGSTON,749808,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22852,4797,S MAIN ST,,,HEMLOCK,NY,14466,0,POINT (286939.7964019192 4740740.047458073),4046,36,051,030701,1400000US36051030701,36051030701,307.01,Census Tract 307.01,NY,Livingston County,New York,CT,61958841,1170593
62,BROOME,749792,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22475,2301,VESTAL PKWY,,,VESTAL,NY,13850,0,POINT (409049.818511548 4658005.82262552),4434,36,007,014500,1400000US36007014500,36007014500,145,Census Tract 145,NY,Broome County,New York,CT,16187282,509811
63,ESSEX,749790,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22214,1790,E MAIN ST,,,BLOOMINGDALE,NY,12913,0,POINT (573342.2648585291 4917874.453680254),5385,36,031,960300,1400000US36031960300,36031960300,9603,Census Tract 9603,NY,Essex County,New York,CT,315291733,3063870
64,ONTARIO,749775,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10079,8673,MAIN ST,,,HONEOYE,NY,14471,0,POINT (294518.8069705531 4740469.950479967),5219,36,069,052003,1400000US36069052003,36069052003,520.03,Census Tract 520.03,NY,Ontario County,New York,CT,38135363,5077036
65,STEUBEN,749774,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22186,8569,MAIN ST,,,CAMPBELL,NY,14821,0,POINT (319217.0595766006 4677607.689993924),4727,36,101,961700,1400000US36101961700,36101961700,9617,Census Tract 9617,NY,Steuben County,New York,CT,105372683,243467
66,FRANKLIN,749773,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22010,94,W MAIN ST,,,CHATEAUGAY,NY,12920,0,POINT (572231.0999856484 4975141.502635421),369,36,033,952000,1400000US36033952000,36033952000,9520,Census Tract 9520,NY,Franklin County,New York,CT,354571285,62808
67,DUTCHESS,749772,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22142,2555,STATE RT 55,,,POUGHQUAG,NY,12570,0,POINT (609383.7452346395 4608998.562995252),1315,36,027,020004,1400000US36027020004,36027020004,200.04,Census Tract 200.04,NY,Dutchess County,New York,CT,22812881,224020
68,STEUBEN,749771,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20710,1084,CATON RD,,,CORNING,NY,14830,0,POINT (332214.2002602131 4658018.684178802),1510,36,101,963000,1400000US36101963000,36101963000,9630,Census Tract 9630,NY,Steuben County,New York,CT,194541412,1866515
69,JEFFERSON,749744,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22520,16234,FOSTER PARK RD,,,DEXTER,NY,13634,9346,POINT (416059.924584608 4872540.349619943),2496,36,045,060402,1400000US36045060402,36045060402,604.02,Census Tract 604.02,NY,Jefferson County,New York,CT,60637804,6136963
70,CHAUTAUQUA,749728,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8294,1190,CENTRAL AVE A,,,DUNKIRK,NY,14048,7240,POINT (143662.0478480923 4709673.56080533),802,36,013,035700,1400000US36013035700,36013035700,357,Census Tract 357,NY,Chautauqua County,New York,CT,2891496,0
71,DUTCHESS,749726,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20475,1,E DORSEY LN,,,POUGHKEEPSIE,NY,12601,7500,POINT (590515.6583599079 4622094.452792183),4099,36,027,070401,1400000US36027070401,36027070401,704.01,Census Tract 704.01,NY,Dutchess County,New York,CT,8724846,1312317
72,STEUBEN,749592,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22635,6758,RT 415,,,BATH,NY,14810,3,POINT (310647.063182928 4688860.690347873),4279,36,101,961300,1400000US36101961300,36101961300,9613,Census Tract 9613,NY,Steuben County,New York,CT,130460119,1291435
73,WYOMING,749574,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 22210,3644,RT 78,,,STRYKERSVILLE,NY,14145,9300,POINT (217052.023873973 4734349.814624446),4709,36,121,970400,1400000US36121970400,36121970400,9704,Census Tract 9704,NY,Wyoming County,New York,CT,214732557,277124
74,WYOMING,749486,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22357,7862,RT 98,,,ARCADE,NY,14009,4000,POINT (219703.5974965451 4713764.589516564),1656,36,121,971000,1400000US36121971000,36121971000,9710,Census Tract 9710,NY,Wyoming County,New York,CT,121740567,273605
75,CHENANGO,748405,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22374,6192,HWY 12,,,NORWICH,NY,13815,0,POINT (456841.2704468108 4711405.79465578),4301,36,017,970601,1400000US36017970601,36017970601,9706.01,Census Tract 9706.01,NY,Chenango County,New York,CT,138498926,382745
76,SCHOHARIE,748402,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21746,1273,STATE RD 10,,,JEFFERSON,NY,12093,0,POINT (532741.0016851609 4703341.277513002),4348,36,095,740600,1400000US36095740600,36095740600,7406,Census Tract 7406,NY,Schoharie County,New York,CT,368179663,1683284
77,WAYNE,746908,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22258,4802,RT 414,,,NORTH ROSE,NY,14516,0,POINT (346604.4887275753 4782332.73378438),1795,36,117,021600,1400000US36117021600,36117021600,216,Census Tract 216,NY,Wayne County,New York,CT,183852269,219965
78,LEWIS,746906,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21446,10024,STATE RT 12,,,COPENHAGEN,NY,13626,9160,POINT (445364.0451613234 4860736.093184591),2561,36,049,950302,1400000US36049950302,36049950302,9503.02,Census Tract 9503.02,NY,Lewis County,New York,CT,321420783,1403432
79,CHENANGO,746905,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21398,5294,STATE HWY 41,,,SMITHVILLE FLATS,NY,13841,0,POINT (433519.7619440636 4694396.532438717),2265,36,017,970802,1400000US36017970802,36017970802,9708.02,Census Tract 9708.02,NY,Chenango County,New York,CT,182090288,1573864
80,WASHINGTON,746615,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21449,123,ROWE HILL RD,,,HARTFORD,NY,12838,0,POINT (630155.7929316589 4801941.315087724),786,36,115,085000,1400000US36115085000,36115085000,850,Census Tract 850,NY,Washington County,New York,CT,112309958,261211
81,MADISON,746439,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21799,7578,RT 20,,,MADISON,NY,13402,0,POINT (459484.7249204257 4750225.144112261),3455,36,053,031000,1400000US36053031000,36053031000,310,Census Tract 310,NY,Madison County,New York,CT,202190861,1691611
82,DELAWARE,746355,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21723,15276,STATE HWY 30,,,DOWNSVILLE,NY,13755,9160,POINT (500551.1293275711 4658458.699982524),3458,36,025,971300,1400000US36025971300,36025971300,9713,Census Tract 9713,NY,Delaware County,New York,CT,354285419,13948478
83,COLUMBIA,746084,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16022,4311,ROUTE 9G,,,GERMANTOWN,NY,12526,0,POINT (591638.7521433099 4665508.026719804),440,36,021,002000,1400000US36021002000,36021002000,20,Census Tract 20,NY,Columbia County,New York,CT,31346403,4711090
84,ALBANY,746076,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 22495,310,S PEARL ST,,,ALBANY,NY,12202,0,POINT (601864.8616468413 4721602.455772624),3441,36,001,002500,1400000US36001002500,36001002500,25,Census Tract 25,NY,Albany County,New York,CT,667349,115684
85,ERIE,745207,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21384,2250,NIAGARA FALLS BLVD,,,TONAWANDA,NY,14150,8000,POINT (188475.620311381 4769654.948526993),1827,36,029,007901,1400000US36029007901,36029007901,79.01,Census Tract 79.01,NY,Erie County,New York,CT,2376359,73386
86,CHENANGO,745206,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21772,478,COUNTY ROAD 16,,,PLYMOUTH,NY,13832,6500,POINT (450616.092126801 4718529.201908723),4301,36,017,970601,1400000US36017970601,36017970601,9706.01,Census Tract 9706.01,NY,Chenango County,New York,CT,138498926,382745
